has_dependents,tenure_mo,home_phone,multi_line,internet_plan,contract_term,e_bill_opt_in,pay_method,monthly_fee,total_billed,gender,age_years,is_married,dependents_count,referred_friend,referrals_count,recent_offer,avg_long_dist_fee,internet_tech,avg_gb_download,unlimited_data_opt,extra_data_fees_total,long_dist_fees_total,received_refund,tenure_log1p,tenure_group,bundle_score,is_autopay,penalty_fees_total,penalty_fee_rate,avg_billed_per_month,fee_minus_avg_billed,recent_offer_missing,left_flag
No,71,1,Yes,Fiber optic,Two year,Yes,Credit card (automatic),96.35,6766.95,Female,69,Yes,0,Yes,3,Unknown,47.02,Fiber Optic,12,Yes,0,3338.42,0,4.276666119016055,49-72,5,1,3338.42,0.4933419044030176,95.30915492957746,1.0408450704225345,1,0
No,2,1,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Male,79,Yes,0,Yes,10,Offer E,33.1,Fiber Optic,11,No,10,66.2,0,1.0986122886681098,0-6,3,1,76.2,0.4194880264244426,90.825,4.674999999999997,0,0
Yes,27,1,No,DSL,One year,No,Mailed check,66.15,1874.45,Female,46,Yes,0,Yes,5,Unknown,40.21,DSL,13,Yes,0,1085.67,0,3.332204510175204,25-48,5,0,1085.67,0.5791938968764171,69.42407407407407,-3.274074074074065,1,0
No,1,1,No,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Male,35,No,0,No,0,Offer E,24.48,Unknown,0,No,0,24.48,0,0.6931471805599453,0-6,0,1,24.48,1.2118811881188118,20.2,0.0,0,0
No,1,1,No,DSL,Month-to-month,No,Bank transfer (automatic),45.25,45.25,Male,71,No,0,No,0,Offer E,11.89,DSL,12,Yes,0,11.89,0,0.6931471805599453,0-6,0,1,11.89,0.2627624309392265,45.25,0.0,0,0
Yes,72,1,Yes,Fiber optic,Two year,No,Bank transfer (automatic),99.9,7251.7,Female,60,Yes,0,Yes,7,Unknown,23.66,Fiber Optic,26,Yes,0,1703.52,0,4.290459441148391,49-72,5,1,1703.52,0.23491319276859218,100.71805555555555,-0.8180555555555458,1,0
No,5,1,No,Fiber optic,Month-to-month,Yes,Electronic check,69.7,316.9,Male,56,No,3,No,0,Unknown,12.6,Fiber Optic,58,Yes,0,63.0,0,1.791759469228055,0-6,0,0,63.0,0.1988008835594825,63.379999999999995,6.320000000000007,1,1
No,46,1,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Female,19,No,0,No,0,Offer B,42.44,Fiber Optic,69,Yes,0,1952.24,0,3.8501476017100584,25-48,1,1,1952.24,0.5501902319420567,77.13695652173914,-2.3369565217391397,0,0
No,34,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.35,3549.25,Male,51,No,1,No,0,Offer C,21.69,Fiber Optic,28,Yes,0,737.46,0,3.5553480614894135,25-48,5,0,737.46,0.20777910826230894,104.38970588235294,1.9602941176470523,0,1
No,11,1,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Female,48,No,2,No,0,Unknown,27.57,Cable,18,Yes,0,303.27,0,2.4849066497880004,7-12,4,1,303.27,0.27435317532115067,100.4909090909091,-2.640909090909105,1,1
Yes,17,1,No,No,One year,No,Mailed check,20.75,418.25,Female,28,Yes,0,Yes,8,Offer D,8.74,Unknown,0,No,0,148.58,0,2.8903717578961645,13-24,0,0,148.58,0.3552420800956366,24.602941176470587,-3.852941176470587,0,0
No,63,1,Yes,DSL,Two year,Yes,Credit card (automatic),79.85,4861.45,Female,36,No,0,No,0,Offer B,12.82,DSL,17,Yes,0,807.66,0,4.1588830833596715,49-72,6,1,807.66,0.16613561797406123,77.16587301587302,2.6841269841269764,0,0
No,13,1,Yes,DSL,Month-to-month,Yes,Electronic check,76.2,981.45,Female,42,Yes,0,Yes,1,Offer D,11.79,DSL,29,Yes,0,153.27,0,2.6390573296152584,13-24,5,0,153.27,0.15616689591930308,75.49615384615385,0.7038461538461576,0,0
No,49,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.5,3906.7,Female,49,No,0,No,0,Offer B,27.2,Fiber Optic,24,Yes,0,1332.8,0,3.912023005428146,49-72,2,0,1332.8,0.3411574986561548,79.72857142857143,4.771428571428572,0,0
No,2,1,No,DSL,Month-to-month,No,Mailed check,49.25,97.0,Male,22,No,0,No,0,Unknown,40.75,DSL,71,Yes,0,81.5,0,1.0986122886681098,0-6,1,0,81.5,0.8402061855670103,48.5,0.75,1,0
No,2,1,No,Fiber optic,Month-to-month,Yes,Electronic check,80.65,144.15,Female,32,No,2,No,0,Unknown,5.85,Fiber Optic,19,No,20,11.7,0,1.0986122886681098,0-6,1,0,31.7,0.21990981616371832,72.075,8.575000000000003,1,1
No,52,1,Yes,DSL,Two year,Yes,Credit card (automatic),79.75,4217.8,Male,23,No,0,No,0,Offer B,29.16,Cable,73,Yes,0,1516.32,0,3.970291913552122,49-72,6,1,1516.32,0.3595049551899094,81.11153846153846,-1.3615384615384585,0,0
Yes,69,1,Yes,DSL,Two year,Yes,Credit card (automatic),64.15,4254.1,Female,64,Yes,0,Yes,7,Unknown,39.88,Cable,17,No,40,2751.72,0,4.248495242049359,49-72,4,1,2791.72,0.6562422133941374,61.6536231884058,2.496376811594203,1,0
No,15,1,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Female,34,No,1,No,0,Unknown,3.96,Fiber Optic,20,Yes,0,59.4,0,2.772588722239781,13-24,5,1,59.4,0.04164329781267526,95.09333333333333,4.006666666666661,1,1
No,25,1,Yes,DSL,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,Female,65,Yes,0,Yes,9,Unknown,30.6,DSL,2,Yes,0,765.0,0,3.258096538021482,25-48,4,1,765.0,0.4364818988389011,70.10600000000001,-0.6060000000000088,1,0
No,8,1,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Female,74,Yes,1,Yes,1,Offer E,48.85,Fiber Optic,17,Yes,0,390.8,0,2.1972245773362196,7-12,1,1,390.8,0.6170851097426181,79.1625,1.4875000000000114,0,1
Yes,60,1,No,DSL,One year,Yes,Credit card (automatic),74.85,4456.35,Female,72,Yes,0,Yes,9,Offer B,48.9,Cable,16,Yes,0,2934.0,0,4.110873864173311,49-72,6,1,2934.0,0.658386347571443,74.27250000000001,0.5774999999999864,0,0
No,18,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.45,1752.55,Male,71,No,3,No,0,Offer D,11.33,Fiber Optic,52,Yes,0,203.94,1,2.9444389791664403,13-24,3,0,203.94,0.11636757867107929,97.36388888888888,-1.9138888888888772,0,1
Yes,63,1,Yes,Fiber optic,One year,Yes,Credit card (automatic),99.65,6311.2,Female,44,Yes,0,Yes,2,Offer B,1.43,Fiber Optic,16,Yes,0,90.09,0,4.1588830833596715,49-72,4,1,90.09,0.014274622892635315,100.17777777777778,-0.5277777777777715,0,0
Yes,66,1,Yes,Fiber optic,One year,Yes,Electronic check,108.45,7076.35,Male,77,Yes,0,Yes,3,Unknown,21.79,Fiber Optic,9,Yes,0,1438.14,0,4.204692619390966,49-72,6,0,1438.14,0.20323189214778806,107.21742424242424,1.2325757575757592,1,0
Yes,34,1,Yes,No,Two year,No,Credit card (automatic),24.95,894.3,Female,61,Yes,0,Yes,10,Unknown,25.21,Unknown,0,No,0,857.14,0,3.5553480614894135,25-48,0,1,857.14,0.9584479481158449,26.302941176470586,-1.352941176470587,1,0
No,72,1,Yes,Fiber optic,Two year,Yes,Credit card (automatic),107.5,7853.7,Female,40,No,0,No,0,Unknown,9.47,Fiber Optic,21,No,60,681.84,0,4.290459441148391,49-72,6,1,741.84,0.0944573895106765,109.07916666666667,-1.5791666666666657,1,0
No,60,1,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Male,27,No,0,No,0,Offer B,42.88,Fiber Optic,52,Yes,0,2572.8,0,4.110873864173311,49-72,2,1,2572.8,0.47201276900214656,90.845,-0.9449999999999932,0,0
No,72,0,No,DSL,Two year,No,Bank transfer (automatic),42.1,2962.0,Male,36,Yes,0,Yes,7,Offer A,0.0,Cable,17,Yes,0,0.0,0,4.290459441148391,49-72,3,1,0.0,0.0,41.138888888888886,0.9611111111111157,0,0
Yes,18,1,No,DSL,One year,Yes,Credit card (automatic),54.4,957.1,Female,43,Yes,0,Yes,2,Offer D,44.97,Cable,7,Yes,0,809.46,0,2.9444389791664403,13-24,3,1,809.46,0.845742346672239,53.172222222222224,1.2277777777777743,0,0
No,9,1,Yes,Fiber optic,Month-to-month,No,Electronic check,94.4,857.25,Female,41,No,2,No,0,Unknown,27.21,Fiber Optic,29,Yes,0,244.89,0,2.302585092994046,7-12,3,0,244.89,0.28566929133858265,95.25,-0.8499999999999943,1,1
No,47,1,Yes,Fiber optic,One year,Yes,Electronic check,78.9,3650.35,Male,32,Yes,0,Yes,8,Offer B,39.52,Fiber Optic,30,Yes,0,1857.44,0,3.871201010907891,25-48,1,0,1857.44,0.508838878463709,77.66702127659575,1.2329787234042584,0,0
No,31,1,No,DSL,Two year,No,Mailed check,79.2,2497.2,Female,61,No,0,No,0,Unknown,25.57,DSL,27,No,70,792.67,0,3.4657359027997265,25-48,7,0,862.67,0.3454549094986385,80.55483870967741,-1.3548387096774093,1,0
Yes,50,1,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,Female,37,Yes,0,Yes,5,Offer B,26.95,Unknown,0,No,0,1347.5,0,3.9318256327243257,49-72,0,1,1347.5,1.4475239016006016,18.618,1.532,0,0
No,10,1,No,Fiber optic,Month-to-month,Yes,Mailed check,79.85,887.35,Male,29,No,0,No,0,Unknown,48.38,Fiber Optic,42,Yes,0,483.8,0,2.3978952727983707,7-12,2,0,483.8,0.5452189102383501,88.735,-8.885000000000005,1,0
No,1,1,No,DSL,Month-to-month,No,Mailed check,49.05,49.05,Male,39,No,0,No,0,Unknown,25.77,Cable,5,Yes,0,25.77,0,0.6931471805599453,0-6,2,0,25.77,0.5253822629969419,49.05,0.0,1,0
Yes,52,1,No,No,One year,Yes,Electronic check,20.4,1090.65,Female,24,Yes,0,Yes,3,Offer B,5.65,Unknown,0,No,0,293.8,0,3.970291913552122,49-72,0,0,293.8,0.26938064456975197,20.974038461538463,-0.5740384615384642,0,0
Yes,64,1,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Male,71,Yes,0,Yes,9,Offer B,16.33,Fiber Optic,10,Yes,0,1045.12,0,4.174387269895637,49-72,6,1,1045.12,0.14722073531483307,110.921875,0.6781249999999943,0,0
Yes,62,1,Yes,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Male,40,Yes,0,Yes,4,Offer B,48.73,Unknown,0,No,0,3021.26,0,4.143134726391533,49-72,0,1,3021.26,2.1207777621788577,22.97741935483871,1.272580645161291,0,0
Yes,3,1,No,DSL,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,Female,51,No,3,No,0,Offer E,39.55,DSL,56,No,60,118.65,0,1.3862943611198906,0-6,5,1,178.65,1.0070462232243518,59.13333333333333,5.366666666666667,0,0
No,56,1,Yes,Fiber optic,One year,No,Electronic check,110.5,6139.5,Female,73,No,0,No,0,Unknown,47.13,Fiber Optic,29,Yes,0,2639.28,0,4.04305126783455,49-72,5,0,2639.28,0.4298851698021012,109.63392857142857,0.8660714285714306,1,0
No,46,1,No,DSL,One year,No,Credit card (automatic),55.65,2688.85,Female,50,No,0,No,0,Offer B,2.03,Cable,7,Yes,0,93.38,0,3.8501476017100584,25-48,2,1,93.38,0.034728601446715135,58.45326086956521,-2.8032608695652144,0,0
Yes,8,1,No,DSL,Month-to-month,No,Mailed check,54.65,482.25,Female,62,Yes,1,Yes,1,Offer E,38.78,DSL,18,Yes,0,310.24,0,2.1972245773362196,7-12,2,0,310.24,0.6433177812337999,60.28125,-5.631250000000001,0,0
No,30,1,No,DSL,Month-to-month,Yes,Electronic check,74.75,2111.3,Male,80,No,0,No,0,Unknown,38.61,DSL,5,Yes,0,1158.3,0,3.4339872044851463,25-48,4,0,1158.3,0.5486193340595841,70.37666666666668,4.373333333333321,1,0
Yes,45,1,Yes,No,One year,Yes,Credit card (automatic),25.9,1216.6,Female,48,Yes,0,Yes,4,Offer B,22.49,Unknown,0,No,0,1012.05,0,3.828641396489095,25-48,0,1,1012.05,0.8318674995890186,27.035555555555554,-1.1355555555555554,0,0
Yes,11,0,No,DSL,Month-to-month,No,Electronic check,50.55,565.35,Female,23,Yes,1,Yes,1,Unknown,0.0,Cable,41,Yes,0,0.0,0,2.4849066497880004,7-12,4,0,0.0,0.0,51.39545454545455,-0.845454545454551,1,0
No,7,1,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Female,34,Yes,5,Yes,1,Unknown,8.69,Fiber Optic,53,Yes,0,60.83,0,2.0794415416798357,7-12,1,1,60.83,0.12241899778627491,70.98571428571428,4.164285714285725,1,1
No,42,1,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Female,38,No,0,No,0,Offer B,40.15,Fiber Optic,28,No,110,1686.3,0,3.7612001156935624,25-48,7,1,1796.3,0.4150895436164067,103.03571428571429,0.7642857142857054,0,0
No,49,1,No,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,Female,31,Yes,0,Yes,10,Unknown,2.82,Unknown,0,No,0,138.18,0,3.912023005428146,49-72,0,1,138.18,0.14196332254584682,19.864285714285714,0.2857142857142847,1,0
No,35,1,No,DSL,One year,Yes,Bank transfer (automatic),62.15,2215.45,Female,51,Yes,0,Yes,1,Offer C,24.53,DSL,30,Yes,0,858.55,0,3.58351893845611,25-48,2,1,858.55,0.38752849308266946,63.29857142857142,-1.1485714285714224,0,0
Yes,48,1,No,No,Two year,No,Bank transfer (automatic),20.65,1057.0,Female,24,Yes,0,Yes,10,Unknown,37.96,Unknown,0,No,0,1822.08,0,3.8918202981106265,25-48,0,1,1822.08,1.7238221381267738,22.020833333333332,-1.3708333333333336,1,0
Yes,46,1,No,No,Two year,Yes,Mailed check,19.95,927.1,Female,56,Yes,0,Yes,1,Unknown,30.47,Unknown,0,No,0,1401.62,0,3.8501476017100584,25-48,0,0,1401.62,1.5118325962679322,20.15434782608696,-0.20434782608695912,1,0
Yes,30,1,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Male,32,Yes,3,Yes,5,Offer C,6.19,Fiber Optic,21,No,120,185.7,0,3.4339872044851463,25-48,2,1,305.7,0.11894016029880944,85.67333333333333,-3.623333333333335,0,0
No,1,1,No,Fiber optic,Month-to-month,No,Electronic check,74.7,74.7,Male,79,No,0,No,0,Unknown,27.65,Fiber Optic,2,Yes,0,27.65,0,0.6931471805599453,0-6,2,0,27.65,0.3701472556894243,74.7,0.0,1,0
Yes,66,1,Yes,DSL,Two year,Yes,Mailed check,84.0,5714.25,Male,57,Yes,0,No,0,Offer A,6.22,DSL,26,Yes,0,410.52,0,4.204692619390966,49-72,7,0,410.52,0.0718414490090563,86.57954545454545,-2.5795454545454533,0,0
No,65,1,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Female,50,No,0,No,0,Unknown,41.78,Fiber Optic,14,Yes,0,2715.7,0,4.189654742026425,49-72,6,1,2715.7,0.38211622344167717,109.33846153846154,1.7115384615384528,1,0
No,72,1,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Male,52,No,0,No,0,Offer A,24.53,Fiber Optic,12,Yes,0,1766.16,0,4.290459441148391,49-72,5,1,1766.16,0.23678082329519176,103.59791666666666,-2.697916666666657,0,0
No,12,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.95,927.35,Female,34,No,3,No,0,Unknown,25.34,Fiber Optic,56,No,80,304.08,0,2.5649493574615367,7-12,1,0,384.08,0.4141694074513398,77.27916666666667,1.6708333333333343,1,1
Yes,71,1,Yes,DSL,One year,Yes,Credit card (automatic),66.85,4748.7,Male,50,Yes,0,Yes,1,Offer A,4.85,DSL,26,Yes,0,344.35,0,4.276666119016055,49-72,4,1,344.35,0.07251458293848843,66.8830985915493,-0.0330985915493045,0,0
No,52,1,No,No,Two year,No,Bank transfer (automatic),21.0,1107.2,Male,62,No,0,No,0,Unknown,28.3,Unknown,0,No,0,1471.6,0,3.970291913552122,49-72,0,1,1471.6,1.3291184971098264,21.292307692307695,-0.2923076923076948,1,0
No,25,1,No,Fiber optic,Month-to-month,Yes,Electronic check,98.5,2514.5,Female,78,Yes,1,Yes,1,Offer C,19.76,Fiber Optic,12,Yes,0,494.0,1,3.258096538021482,25-48,4,0,494.0,0.1964605289321933,100.58,-2.0799999999999983,0,1
No,1,1,No,No,Month-to-month,No,Mailed check,20.2,20.2,Male,19,No,0,No,0,Offer E,41.1,Unknown,0,No,0,41.1,0,0.6931471805599453,0-6,0,0,41.1,2.0346534653465347,20.2,0.0,0,0
Yes,1,1,No,No,Month-to-month,No,Electronic check,19.45,19.45,Female,38,Yes,2,Yes,1,Offer E,16.44,Unknown,0,No,0,16.44,0,0.6931471805599453,0-6,0,0,16.44,0.8452442159383035,19.45,0.0,0,0
No,38,1,Yes,Fiber optic,One year,No,Bank transfer (automatic),95.0,3605.6,Male,34,No,0,No,0,Offer C,3.95,Fiber Optic,21,Yes,0,150.1,0,3.6635616461296463,25-48,4,1,150.1,0.04162968715331706,94.88421052631578,0.11578947368421666,0,0
No,66,0,No,DSL,One year,No,Bank transfer (automatic),45.55,3027.25,Female,65,Yes,0,No,0,Offer A,0.0,Cable,9,Yes,0,0.0,0,4.204692619390966,49-72,3,1,0.0,0.0,45.86742424242424,-0.31742424242424505,0,0
No,5,0,No,DSL,Month-to-month,No,Mailed check,24.3,100.2,Male,35,No,0,No,0,Offer E,0.0,DSL,21,Yes,0,0.0,0,1.791759469228055,0-6,0,0,0.0,0.0,20.04,4.260000000000002,0,0
Yes,72,1,Yes,Fiber optic,One year,Yes,Electronic check,104.15,7303.05,Female,25,Yes,0,Yes,1,Offer A,25.82,Fiber Optic,59,Yes,0,1859.04,0,4.290459441148391,49-72,5,0,1859.04,0.25455665783474024,101.43125,2.71875,0,0
No,32,0,No,DSL,One year,No,Mailed check,30.15,927.65,Female,60,No,0,No,0,Offer C,0.0,DSL,18,Yes,0,0.0,0,3.4965075614664802,25-48,1,0,0.0,0.0,28.9890625,1.1609374999999993,0,0
No,43,1,Yes,Fiber optic,One year,No,Mailed check,94.35,3921.3,Male,50,No,0,No,0,Unknown,41.22,Fiber Optic,7,Yes,0,1772.46,0,3.784189633918261,25-48,3,0,1772.46,0.45200826256598575,91.19302325581396,3.1569767441860392,1,0
Yes,72,1,No,No,Two year,No,Credit card (automatic),19.4,1363.25,Male,38,Yes,0,Yes,1,Offer A,49.5,Unknown,0,No,0,3564.0,0,4.290459441148391,49-72,0,1,3564.0,2.614340729873464,18.93402777777778,0.46597222222222,0,0
No,55,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.75,5238.9,Male,37,Yes,1,No,0,Unknown,49.06,Fiber Optic,27,Yes,0,2698.3,0,4.02535169073515,49-72,3,0,2698.3,0.5150508694573289,95.25272727272727,1.4972727272727298,1,1
No,43,1,No,Fiber optic,Month-to-month,Yes,Electronic check,91.65,3954.1,Female,36,No,0,No,0,Unknown,26.55,Fiber Optic,12,Yes,0,1141.65,0,3.784189633918261,25-48,3,0,1141.65,0.2887256265648315,91.95581395348837,-0.30581395348836793,1,0
Yes,3,1,No,Fiber optic,Month-to-month,No,Electronic check,89.85,248.4,Male,38,Yes,2,Yes,1,Offer E,33.3,Fiber Optic,12,Yes,0,99.9,0,1.3862943611198906,0-6,3,0,99.9,0.40217391304347827,82.8,7.049999999999997,0,0
Yes,10,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.25,1064.65,Female,62,Yes,2,Yes,1,Unknown,24.48,Fiber Optic,30,Yes,0,244.8,0,2.3978952727983707,7-12,4,0,244.8,0.2299347203306251,106.465,-6.215000000000003,1,1
No,41,1,No,No,Two year,No,Mailed check,20.65,835.15,Female,53,No,0,No,0,Unknown,31.62,Unknown,0,No,0,1296.42,0,3.7376696182833684,25-48,0,0,1296.42,1.552319942525295,20.36951219512195,0.2804878048780495,1,0
No,6,1,No,No,Month-to-month,No,Mailed check,20.7,112.75,Female,31,No,0,No,0,Offer E,7.72,Unknown,0,No,0,46.32,0,1.9459101490553132,0-6,0,0,46.32,0.41082039911308205,18.791666666666668,1.9083333333333314,0,0
No,3,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.4,229.55,Male,21,No,2,No,0,Offer E,14.6,Fiber Optic,71,Yes,0,43.8,1,1.3862943611198906,0-6,1,0,43.8,0.19080810280984534,76.51666666666667,-2.11666666666666,0,1
